Филиал;Серия;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
Восточно-Сибирский;ВЛ65ви;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;ТЭ10ви;58 811;58 811;58 811;58 972;58 811;58 811;58 811;58 972;58 811;58 811;58 811;58 972;58 811;58 811;58 811;58 972;58 811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;ВЛ85ви;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;2ЭС5Кви;3 234 580;3 234 580;3 234 580;3 243 466;3 234 580;3 234 580;3 234 580;3 243 466;3 234 580;3 234 580;3 234 580;3 243 466;3 234 580;3 234 580;3 234 580;3 243 466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;3ЭС5Кви;6 880 833;6 880 833;6 880 833;6 899 736;6 880 833;6 880 833;6 880 833;6 899 736;6 880 833;6 880 833;6 880 833;6 899 736;6 880 833;6 880 833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;ЭП1ви;1 529 074;1 529 074;1 529 074;1 533 275;1 529 074;1 529 074;1 529 074;1 533 275;1 529 074;1 529 074;1 529 074;1 533 275;1 529 074;1 529 074;1 529 074;1 533 275;1 529 074;1 529 074;1 235 021;884 582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западный;ТЭ10ви;705 726;705 726;705 726;707 665;705 726;705 726;705 726;707 665;705 726;705 726;705 726;707 665;705 726;705 726;705 726;707 665;705 726;705 726;705 726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западный;ВЛ60ви;823 348;823 348;823 348;825 609;823 348;823 348;823 348;825 609;823 348;823 348;823 348;825 609;823 348;823 348;823 348;825 609;823 348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западный;ВЛ80ви;176 432;176 432;176 432;176 916;176 432;176 432;176 432;176 916;176 432;176 432;176 432;176 916;176 432;176 432;176 432;176 916;176 432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западный;М62ви;1 764 316;1 764 316;1 764 316;1 769 163;1 764 316;1 764 316;1 764 316;1 769 163;1 764 316;1 764 316;1 764 316;1 769 163;1 764 316;1 764 316;1 764 316;1 769 163;1 764 316;1 764 316;1 764 316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западный;ТЭП70ви;113 108 632;113 108 632;113 108 632;113 419 370;113 108 632;47 202 815;21 820 169;13 395 989;13 359 287;13 359 287;13 359 287;13 395 989;13 359 287;13 359 287;13 359 287;13 395 989;13 359 287;13 359 287;13 359 287;13 395 989;13 359 287;13 359 287;13 359 287;13 395 989;13 359 287;13 359 287;0;0;0;0;0;0;0;0;0;0;0;0
Западный;ЭП1ви;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035;3 078 035;3 086 491;3 078 035;3 078 035
Западный;ЧС4ви;16 050 724;16 050 724;15 839 072;15 675 877;15 432 084;80 737 689;105 775 332;113 305 836;112 995 409;112 995 409;112 995 409;113 001 738;112 692 144;112 692 144;112 692 144;113 001 738;112 692 144;112 390 502;112 390 502;112 699 268;112 390 502;112 390 502;112 390 502;112 699 268;112 390 502;112 390 502;125 712 060;126 057 423;125 712 060;125 712 060;125 712 060;126 057 423;125 712 060;125 712 060;125 712 060;126 057 423;125 712 060;125 712 060
Амурский;ТЭ10ви;4 762 867;4 762 867;4 762 867;4 775 952;4 762 867;4 762 867;4 762 867;4 775 952;4 762 867;4 762 867;4 762 867;4 775 952;4 762 867;4 762 867;4 762 867;4 775 952;4 762 867;4 762 867;3 448 973;164 688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Амурский;ТЭ25ви;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893;7 554 893;7 575 648;7 554 893;7 554 893
Амурский;ТЭП70ви;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702;17 698 702;17 747 325;17 698 702;17 698 702
